age,job,marital,education,Account_Balance,Channel,month,Campaign_Contacts,Previous_Outcome,Converted,Month_No
27,management,single,secondary,35,cellular,jul,1,unknown,0,7
54,blue-collar,married,primary,466,cellular,jul,1,unknown,0,7
43,blue-collar,married,secondary,105,cellular,jul,2,unknown,0,7
31,technician,single,secondary,19,telephone,jul,2,unknown,0,7
27,technician,single,secondary,126,cellular,jul,4,unknown,0,7
28,blue-collar,single,secondary,-127,cellular,jul,3,unknown,1,7
50,blue-collar,married,secondary,1329,telephone,jul,2,unknown,0,7
29,blue-collar,single,primary,343,cellular,jul,2,unknown,0,7
25,blue-collar,single,secondary,192,telephone,jul,2,unknown,0,7
38,blue-collar,married,secondary,43,cellular,jul,3,unknown,0,7
36,technician,single,secondary,-272,cellular,jul,6,unknown,0,7
32,blue-collar,divorced,primary,4805,cellular,jul,3,unknown,0,7
44,technician,married,tertiary,1146,cellular,jul,2,unknown,0,7
37,blue-collar,married,primary,380,cellular,jul,2,unknown,0,7
48,services,married,secondary,1355,cellular,jul,2,unknown,0,7
30,admin.,married,secondary,215,cellular,jul,2,unknown,0,7
54,technician,married,secondary,187,cellular,jul,3,unknown,0,7
36,unemployed,divorced,primary,0,telephone,jul,3,unknown,0,7
33,technician,single,secondary,555,cellular,jul,2,unknown,0,7
34,services,married,secondary,295,cellular,jul,1,unknown,0,7
28,services,single,secondary,-116,cellular,jul,1,unknown,0,7
33,management,married,secondary,4385,cellular,jul,1,unknown,0,7
30,services,married,secondary,137,cellular,jul,1,unknown,0,7
34,admin.,single,secondary,296,cellular,jul,4,unknown,0,7
35,admin.,divorced,secondary,534,cellular,jul,3,unknown,0,7
44,entrepreneur,married,secondary,93,cellular,jul,2,unknown,0,7
36,services,married,secondary,-27,cellular,jul,4,unknown,0,7
49,blue-collar,married,primary,-157,cellular,jul,3,unknown,1,7
55,blue-collar,married,secondary,49,cellular,jul,4,unknown,1,7
51,technician,married,secondary,216,cellular,jul,2,unknown,1,7
51,management,married,tertiary,1421,cellular,jul,5,unknown,0,7
38,blue-collar,married,secondary,222,cellular,jul,5,unknown,0,7
59,entrepreneur,married,tertiary,1728,cellular,jul,2,unknown,0,7
54,management,divorced,tertiary,5253,cellular,jul,19,unknown,0,7
43,management,single,tertiary,47,cellular,jul,5,unknown,0,7
60,entrepreneur,divorced,primary,2648,cellular,jul,2,unknown,0,7
34,services,married,secondary,0,cellular,jul,3,unknown,0,7
31,admin.,single,secondary,-182,cellular,jul,2,unknown,0,7
43,technician,married,secondary,-313,cellular,jul,4,unknown,0,7
53,blue-collar,married,primary,465,cellular,jul,2,unknown,0,7
47,blue-collar,married,primary,25,cellular,jul,3,unknown,0,7
59,management,married,unknown,147,cellular,jul,3,unknown,0,7
39,management,married,primary,551,cellular,jul,5,unknown,0,7
56,housemaid,married,primary,58,cellular,jul,6,unknown,0,7
41,services,married,secondary,650,cellular,jul,5,unknown,0,7
41,housemaid,married,primary,1618,cellular,jul,2,unknown,0,7
60,retired,married,primary,-63,cellular,jul,5,unknown,0,7
58,management,married,primary,4850,cellular,jul,2,unknown,0,7
56,blue-collar,married,primary,409,telephone,jul,6,unknown,0,7
36,unemployed,single,primary,0,telephone,jul,6,unknown,0,7
39,management,married,tertiary,1007,cellular,jul,2,unknown,0,7
46,management,married,primary,312,cellular,jul,2,unknown,0,7
58,blue-collar,divorced,primary,820,cellular,jul,4,unknown,0,7
52,management,married,secondary,3369,cellular,jul,2,unknown,0,7
41,services,married,secondary,841,cellular,jul,2,unknown,0,7
59,blue-collar,married,secondary,-1336,cellular,jul,2,unknown,0,7
35,unknown,married,primary,634,cellular,jul,2,unknown,0,7
43,management,divorced,secondary,0,cellular,jul,3,unknown,0,7
50,blue-collar,married,primary,9301,cellular,jul,4,unknown,0,7
49,technician,married,primary,486,telephone,jul,5,unknown,0,7
51,self-employed,married,secondary,34,cellular,jul,1,unknown,0,7
39,technician,single,secondary,506,cellular,jul,2,unknown,1,7
38,management,married,tertiary,1444,cellular,jul,2,unknown,0,7
30,services,single,secondary,0,cellular,jul,2,unknown,0,7
41,technician,married,secondary,923,cellular,jul,3,unknown,0,7
45,unemployed,divorced,secondary,-44,cellular,jul,2,unknown,0,7
54,services,divorced,tertiary,413,cellular,jul,9,unknown,0,7
47,admin.,single,secondary,3531,cellular,jul,6,unknown,0,7
53,management,divorced,tertiary,243,cellular,jul,2,unknown,0,7
41,blue-collar,married,primary,484,cellular,jul,3,unknown,0,7
42,blue-collar,divorced,primary,213,cellular,jul,3,unknown,1,7
33,services,single,secondary,170,cellular,jul,1,unknown,1,7
34,self-employed,married,tertiary,-236,cellular,jul,4,unknown,0,7
54,blue-collar,divorced,secondary,1613,cellular,jul,3,unknown,0,7
37,entrepreneur,married,tertiary,555,cellular,jul,2,unknown,0,7
59,admin.,married,secondary,1914,cellular,jul,3,unknown,0,7
38,technician,married,secondary,2220,cellular,jul,2,unknown,0,7
27,admin.,single,secondary,450,cellular,jul,3,unknown,0,7
59,management,married,tertiary,553,cellular,jul,3,unknown,1,7
31,admin.,single,secondary,92,cellular,jul,2,unknown,0,7
42,blue-collar,divorced,unknown,0,cellular,jul,2,unknown,0,7
45,blue-collar,divorced,primary,1805,cellular,jul,1,unknown,0,7
37,self-employed,married,secondary,1523,cellular,jul,2,unknown,0,7
42,blue-collar,divorced,secondary,3407,cellular,jul,2,unknown,0,7
40,blue-collar,married,primary,254,cellular,jul,3,unknown,0,7
42,unemployed,married,primary,11,cellular,jul,3,unknown,0,7
27,management,single,secondary,1609,cellular,jul,3,unknown,0,7
45,management,married,tertiary,1447,cellular,jul,2,unknown,0,7
43,technician,divorced,tertiary,27,cellular,jul,4,unknown,0,7
41,admin.,married,secondary,125,cellular,jul,4,unknown,0,7
47,unknown,divorced,primary,0,cellular,jul,1,unknown,0,7
47,management,married,primary,1797,cellular,jul,4,unknown,0,7
44,blue-collar,married,primary,2,telephone,jul,2,unknown,0,7
46,unknown,married,unknown,2911,telephone,jul,9,unknown,0,7
40,admin.,married,secondary,1395,cellular,jul,2,unknown,0,7
33,technician,divorced,secondary,522,cellular,jul,4,unknown,0,7
36,entrepreneur,divorced,tertiary,776,cellular,jul,3,unknown,1,7
25,blue-collar,married,primary,0,cellular,jul,1,unknown,0,7
45,technician,married,secondary,879,cellular,jul,2,unknown,1,7
27,services,single,secondary,266,cellular,jul,1,unknown,0,7
43,services,married,primary,29,telephone,jul,8,unknown,0,7
37,self-employed,married,secondary,1633,cellular,jul,2,unknown,1,7
47,management,married,unknown,12245,cellular,jul,3,unknown,0,7
48,management,married,tertiary,666,cellular,jul,6,unknown,0,7
30,services,married,secondary,-134,cellular,jul,1,unknown,0,7
35,self-employed,married,secondary,0,telephone,jul,4,unknown,0,7
59,unknown,married,primary,1247,telephone,jul,8,unknown,0,7
46,unemployed,married,secondary,926,cellular,jul,5,unknown,1,7
43,technician,married,secondary,-796,cellular,jul,4,unknown,0,7
52,retired,married,tertiary,493,cellular,jul,6,unknown,0,7
37,services,married,secondary,343,cellular,jul,7,unknown,0,7
45,technician,married,secondary,268,cellular,jul,14,unknown,0,7
54,management,divorced,tertiary,92,telephone,jul,4,unknown,0,7
28,management,single,tertiary,0,cellular,jul,1,unknown,0,7
42,management,married,unknown,6573,cellular,jul,4,unknown,0,7
44,services,married,secondary,182,cellular,jul,4,unknown,0,7
57,admin.,married,secondary,1143,telephone,jul,3,unknown,0,7
46,blue-collar,married,secondary,4044,cellular,jul,3,unknown,0,7
27,blue-collar,single,secondary,77,cellular,jul,1,unknown,0,7
51,technician,married,secondary,1327,cellular,jul,2,unknown,0,7
29,admin.,married,secondary,488,cellular,jul,1,unknown,0,7
57,technician,married,secondary,0,cellular,jul,1,unknown,0,7
59,retired,divorced,secondary,23,cellular,jul,1,unknown,0,7
57,retired,married,primary,808,telephone,jul,1,unknown,0,7
26,services,married,secondary,-236,cellular,jul,1,unknown,0,7
36,services,married,secondary,-274,cellular,jul,1,unknown,0,7
35,management,single,tertiary,12,cellular,jul,1,unknown,0,7
40,admin.,single,secondary,-1,cellular,jul,1,unknown,0,7
51,blue-collar,married,primary,505,cellular,jul,1,unknown,0,7
45,services,divorced,secondary,88,cellular,jul,1,unknown,0,7
33,blue-collar,single,primary,777,cellular,jul,1,unknown,0,7
53,blue-collar,married,primary,0,cellular,jul,1,unknown,0,7
39,blue-collar,single,primary,366,cellular,jul,1,unknown,0,7
43,management,married,tertiary,460,cellular,jul,1,unknown,0,7
60,blue-collar,divorced,primary,3427,cellular,jul,1,unknown,0,7
28,housemaid,single,primary,332,cellular,jul,1,unknown,0,7
46,technician,married,secondary,967,cellular,jul,3,unknown,0,7
56,management,married,primary,21,cellular,jul,1,unknown,0,7
32,self-employed,single,tertiary,2559,cellular,jul,1,unknown,1,7
32,admin.,married,secondary,1604,cellular,jul,1,unknown,1,7
34,blue-collar,single,primary,-2,cellular,jul,1,unknown,0,7
30,management,single,tertiary,0,cellular,jul,1,unknown,0,7
51,blue-collar,married,secondary,505,telephone,jul,4,unknown,0,7
29,services,married,tertiary,0,cellular,jul,1,unknown,0,7
35,services,single,secondary,2110,cellular,jul,1,unknown,0,7
29,blue-collar,married,primary,0,telephone,jul,15,unknown,0,7
31,blue-collar,single,secondary,1,cellular,jul,1,unknown,0,7
40,technician,married,unknown,0,cellular,jul,1,unknown,0,7
29,blue-collar,married,primary,57,cellular,jul,1,unknown,0,7
44,housemaid,married,primary,398,cellular,jul,3,unknown,0,7
32,services,single,secondary,-1139,cellular,jul,1,unknown,0,7
36,blue-collar,married,secondary,537,cellular,jul,6,unknown,0,7
40,technician,married,secondary,351,cellular,jul,1,unknown,0,7
37,management,single,tertiary,0,cellular,jul,3,unknown,0,7
45,management,single,secondary,-57,cellular,jul,1,unknown,0,7
55,housemaid,divorced,unknown,3068,cellular,jul,3,unknown,0,7
39,admin.,married,secondary,2319,cellular,jul,1,unknown,0,7
25,technician,single,tertiary,437,cellular,jul,1,unknown,0,7
41,technician,single,secondary,879,cellular,jul,4,unknown,0,7
34,technician,single,secondary,232,cellular,jul,1,unknown,0,7
37,admin.,single,secondary,-117,cellular,jul,1,unknown,0,7
51,retired,married,secondary,3003,cellular,jul,3,unknown,0,7
35,admin.,single,secondary,0,cellular,jul,1,unknown,0,7
49,blue-collar,married,primary,-167,cellular,jul,1,unknown,0,7
28,technician,single,secondary,909,cellular,jul,1,unknown,1,7
26,blue-collar,single,secondary,428,cellular,jul,1,unknown,0,7
27,management,married,tertiary,54,cellular,jul,1,unknown,0,7
45,admin.,divorced,secondary,-176,cellular,jul,1,unknown,1,7
34,admin.,divorced,secondary,564,cellular,jul,1,unknown,0,7
27,services,married,secondary,221,cellular,jul,1,unknown,0,7
35,services,divorced,secondary,35,cellular,jul,4,unknown,0,7
48,admin.,married,secondary,8,cellular,jul,1,unknown,0,7
33,services,single,secondary,149,cellular,jul,1,unknown,0,7
31,technician,single,secondary,475,cellular,jul,1,unknown,0,7
40,blue-collar,single,unknown,29,telephone,jul,2,unknown,0,7
56,housemaid,divorced,secondary,977,cellular,jul,1,unknown,0,7
29,blue-collar,single,primary,161,cellular,jul,1,unknown,0,7
40,management,divorced,tertiary,492,cellular,jul,2,unknown,0,7
35,admin.,married,secondary,0,cellular,jul,11,unknown,0,7
30,admin.,married,primary,40,cellular,jul,1,unknown,0,7
59,blue-collar,married,secondary,13718,telephone,jul,6,unknown,0,7
34,blue-collar,married,secondary,205,cellular,jul,1,unknown,0,7
26,blue-collar,single,secondary,123,cellular,jul,1,unknown,0,7
41,management,married,secondary,0,cellular,jul,3,unknown,0,7
31,unknown,single,tertiary,0,cellular,jul,1,unknown,0,7
58,blue-collar,married,secondary,2146,cellular,jul,3,unknown,0,7
35,blue-collar,married,primary,63,cellular,jul,2,unknown,0,7
27,technician,married,secondary,-428,cellular,jul,1,unknown,0,7
40,management,married,tertiary,0,cellular,jul,1,unknown,0,7
52,technician,divorced,tertiary,-1014,cellular,jul,1,unknown,0,7
38,technician,married,secondary,-228,cellular,jul,4,unknown,0,7
30,blue-collar,single,secondary,-42,cellular,jul,2,unknown,0,7
25,blue-collar,single,secondary,218,cellular,jul,1,unknown,0,7
57,blue-collar,married,primary,282,cellular,jul,12,unknown,0,7
29,services,married,secondary,123,cellular,jul,1,unknown,0,7
48,blue-collar,married,primary,14,cellular,jul,1,unknown,0,7
29,blue-collar,married,secondary,247,cellular,jul,1,unknown,0,7
31,housemaid,married,unknown,-6,telephone,jul,2,unknown,0,7
38,housemaid,divorced,secondary,216,cellular,jul,3,unknown,0,7
29,technician,married,secondary,-28,cellular,jul,1,unknown,0,7
40,blue-collar,married,secondary,326,cellular,jul,1,unknown,0,7
31,admin.,single,secondary,119,cellular,jul,1,unknown,0,7
34,blue-collar,married,primary,69,telephone,jul,1,unknown,0,7
29,blue-collar,married,primary,707,cellular,jul,1,unknown,0,7
44,housemaid,married,primary,-227,cellular,jul,1,unknown,0,7
